ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-4354128,Source1,2,2022-09-16 16:11:23,2022-09-16 16:35:01,28.337597,-81.48025200000002,28.333264,-81.479738,0.301,Slow traffic on FL-535 from W Osceola Pkwy (CR-535) to US-192/W Irlo Bronson Memorial Hwy (CR-535) due to accident., Vineland Rd,Kissimmee,Osceola,FL,34746-5515,US,US/Eastern,KISM,2022-09-16 15:59:00,81.0,81.0,79.0,29.96,10.0,ESE,13.0,0.0,Thunder in the Vicinity,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3358878,Source2,2,2017-08-04 18:41:29,2017-08-04 19:25:55,34.168121,-118.58812,,,0.0,Middle lane blocked due to accident on US-101 Eastbound at De Soto Ave.,De Soto Ave,Woodland Hills,Los Angeles,CA,91367,US,US/Pacific,KVNY,2017-08-04 18:51:00,86.0,,35.0,29.84,10.0,ESE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2265992,Source2,2,2019-02-05 07:47:05,2019-02-05 08:16:27,40.50428,-111.891174,,,0.0,Right hand shoulder blocked due to accident on I-15 Northbound at Exit 289 UT-154 Bangerter Hwy.,I-15 S,Draper,Salt Lake,UT,84020,US,US/Mountain,KU42,2019-02-05 07:55:00,36.3,30.1,72.0,29.52,10.0,SE,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3353135,Source2,2,2017-08-02 03:17:44,2017-08-02 03:47:09,34.842133000000004,-118.193626,,,0.0,Accident on 35th St at Willow Ave.,Willow Ave,Rosamond,Kern,CA,93560,US,US/Pacific,KWJF,2017-08-02 02:56:00,77.0,,69.0,29.92,10.0,NE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3940130,Source1,2,2022-05-26 15:46:41,2022-05-26 19:33:35,34.071461,-118.124051,34.072029,-118.07598999999999,2.7510000000000003,Slow traffic on San Bernardino Fwy E - I-10 E from Atlantic Blvd (I-10) to CA-19/Rosemead Blvd/Flair Dr (I-10) due to accident.,I-10 E,Alhambra,Los Angeles,CA,91803,US,US/Pacific,KCQT,2022-05-26 15:47:00,68.0,,63.0,29.74,10.0,,,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-538636,Source2,1,2022-08-12 11:13:13,2022-08-12 11:43:02,33.776878,-79.021149,,,0.0,Crash on SC-544 at Singleton Ridge Rd.,Singleton Ridge Rd,Conway,Horry,SC,29526-9163,US,US/Eastern,KHYW,2022-08-12 11:15:00,79.0,79.0,78.0,29.97,10.0,W,7.0,0.0,Thunder in the Vicinity,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5445129,Source1,2,2023-02-10 07:58:03,2023-02-10 10:34:10,39.943177,-74.978705,39.94311,-74.978588,0.008,Crash on NJ 73 southbound NJ 38 (Maple Shade Twp) 1 Right lane of 3 lanes closed 5-10 minute delay use caution,State Highway 73,Maple Shade,Burlington,NJ,08052,US,US/Eastern,KVAY,2023-02-10 07:54:00,59.0,59.0,55.0,29.83,10.0,W,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2635071,Source2,2,2018-08-08 18:34:29,2018-08-08 19:19:14,34.27245300000001,-118.556114,,,0.0,Right hand shoulder blocked due to accident on CA-118 Eastbound at Exit 37 Tampa Ave.,Tampa Ave,Porter Ranch,Los Angeles,CA,91326,US,US/Pacific,K3A6,2018-08-08 18:51:00,91.0,91.0,14.0,29.02,10.0,SSE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6832925,Source1,2,2020-11-27 17:10:30,2020-11-28 03:25:00,34.074563,-117.61828500000001,34.067341,-117.55806299999999,3.483,Stationary traffic on San Bernardino Fwy E - I-10 E from 4th St (I-10) to Milliken Ave (I-10) due to accident.,I-10 E,Ontario,San Bernardino,CA,91764,US,US/Pacific,KONT,2020-11-27 16:53:00,62.0,62.0,11.0,29.1,10.0,W,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1268554,Source2,2,2020-11-12 07:18:16,2020-11-12 08:36:04,39.740131,-75.589417,,,0.0,Accident on New Rd at DE-100 Dupont Rd.,S Dupont Rd,Wilmington,New Castle,DE,19805,US,US/Eastern,KILG,2020-11-12 07:11:00,65.0,65.0,93.0,29.8,10.0,NNE,5.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-4052759,Source1,2,2023-02-22 16:28:31,2023-02-22 18:36:40,40.860213,-73.827451,40.86914,-73.8329,0.679,crash I-95 - New England Thruway northbound between exit 8C and exit 9,New England Trwy N,Bronx,Bronx,NY,10475,US,US/Eastern,KLGA,2023-02-22 16:07:00,38.0,32.0,73.0,30.11,7.0,NNE,8.0,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7566793,Source1,4,2018-06-01 13:42:20,2018-06-01 19:42:20,39.625469,-82.853838,39.63176,-82.83608000000002,1.04,Closed at US-22/Lancaster Pike - Road closed due to accident., US Highway 22 E,Stoutsville,Pickaway,OH,43154-9621,US,US/Eastern,KLHQ,2018-06-01 13:53:00,75.0,,82.0,29.86,10.0,West,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7433854,Source1,2,2019-03-27 15:24:15,2019-03-27 19:24:15,45.795963,-120.01888100000001,45.78944,-120.03338000000001,0.831,At OR-74/Exit 147 - Accident.,I-84 W,Arlington,Gilliam,OR,97812,US,US/Pacific,KHRI,2019-03-27 15:53:00,48.9,,80.0,29.87,10.0,SW,4.6,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4764017,Source1,2,2022-12-03 03:19:31,2022-12-03 05:24:04,42.27737546,-83.15610766,42.27761546,-83.15692766,0.045,SB I-75 at Schaefer,I-75,Detroit,Wayne,MI,48217,US,US/Eastern,KDTW,2022-12-03 02:53:00,51.0,51.0,80.0,29.1,8.0,SW,24.0,0.0,Light Rain / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2676742,Source3,2,2018-08-29 16:24:14,2018-08-29 16:53:49,37.582264,-122.252853,,,0.0,#1 lane blocked due to accident on CA-92 Eastbound on San Mateo Bridge.,CA-92 E,San Mateo,San Mateo,CA,94404,US,US/Pacific,KSQL,2018-08-29 16:50:00,71.6,,50.0,29.94,10.0,WSW,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4124361,Source1,2,2022-08-14 10:25:01,2022-08-14 10:49:30,40.828517,-73.93474,40.838833,-73.933178,0.7170000000000001,Slow traffic on Harlem River Dr N from 5th Ave/Exit 22 (Harlem River Dr) to I-95/Amsterdam Ave/Exit 23 (Harlem River Dr) due to accident.,Harlem River Dr N,New York,New York,NY,10039,US,US/Eastern,KNYC,2022-08-14 10:51:00,76.0,76.0,43.0,29.98,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6517767,Source1,2,2021-02-20 07:08:00,2021-02-20 09:14:37,34.289487,-117.45156000000001,34.293094,-117.452871,0.26,Accident on Kenwood Ave (I-15) from Cleghorn Rd (I-15) to I-15 N - Barstow Fwy N.,Barstow Fwy N,San Bernardino,San Bernardino,CA,92407,US,US/Pacific,KSBD,2021-02-20 11:52:00,66.0,66.0,28.0,28.86,6.0,W,6.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1283614,Source2,2,2020-11-03 06:37:46,2020-11-03 07:36:57,33.466358,-81.332474,,,0.0,Accident on SC-39 at New Forest Rd.,SC Highway 39,Williston,Barnwell,SC,29853-3416,US,US/Eastern,KBNL,2020-11-03 06:35:00,30.0,30.0,93.0,30.03,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2639725,Source2,3,2018-08-10 18:03:30,2018-08-10 18:32:19,47.512901,-121.849174,,,0.0,Two right lane blocked due to accident on I-90 Westbound after Exit 27 Winery Rd.,I-90 E,Snoqualmie,King,WA,98065,US,US/Pacific,KRNT,2018-08-10 17:53:00,82.0,,47.0,29.93,10.0,SSW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2808677,Source2,2,2018-05-07 07:57:14,2018-05-07 08:26:52,33.957382,-117.860619,,,0.0,Right hand shoulder blocked due to accident on CA-57 Southbound at Exit 13 Brea Canyon Rd.,CA-57 S,Rowland Heights,Los Angeles,CA,91748,US,US/Pacific,KFUL,2018-05-07 07:53:00,59.0,,87.0,30.05,8.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2454369,Source2,2,2018-11-13 08:08:14,2018-11-13 08:38:02,33.494862,-111.895981,,,0.0,Accident on Indian School Rd at 86th St.,E Indian School Rd,Scottsdale,Maricopa,AZ,85251,US,US/Mountain,KPHX,2018-11-13 07:51:00,50.0,,29.0,30.48,10.0,East,4.6,,Clear,False,False,True,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,Day
A-6217990,Source1,2,2021-11-26 10:15:00.000000000,2021-11-26 11:32:10.000000000,38.761548,-120.58526599999999,38.761624,-120.58513,0.009000000000000001,Incident on PONY EXPRESS TRL near SCHOOL ST Drive with caution., Pony Express Trl,Pollock Pines,El Dorado,CA,95726-9603,US,US/Pacific,KPVF,2021-11-26 10:15:00,59.0,59.0,25.0,27.56,10.0,WNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2071517,Source2,2,2019-06-25 16:31:18,2019-06-25 17:31:10,30.44383,-91.167931,,,0.0,Accident on LA-73 Government St at 20th St.,S 20th St,Baton Rouge,East Baton Rouge,LA,70806-4949,US,US/Central,KBTR,2019-06-25 16:53:00,79.0,79.0,72.0,30.0,10.0,WNW,5.0,0.0,Thunder in the Vicinity,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3335999,Source2,2,2017-09-27 08:16:48,2017-09-27 08:46:30,39.767761,-86.50750699999998,,,0.0,Accident on Sycamore Ln at County Rd 50.,Sycamore Ln,Danville,Hendricks,IN,46122-8678,US,US/Eastern,KIND,2017-09-27 07:54:00,69.1,,84.0,29.99,9.0,North,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5928606,Source1,2,2021-12-06 20:11:15,2021-12-06 21:27:14,32.686993,-96.82296600000001,32.686965,-96.82287099999999,0.006,Incident on E LEDBETTER DR near S R L THORNTON Expect long delays.,Ledbetter Dr,Dallas,Dallas,TX,75232,US,US/Central,KRBD,2021-12-06 19:53:00,46.0,41.0,33.0,29.48,10.0,N,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1259639,Source2,2,2020-11-19 10:08:31,2020-11-19 11:23:03,30.4196,-91.187477,,,0.0,Accident on LA-30 Nicholson Dr at Aster St.,Aster St,Baton Rouge,East Baton Rouge,LA,70802,US,US/Central,KBTR,2020-11-19 09:53:00,66.0,66.0,56.0,30.33,10.0,E,8.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-6149434,Source1,2,2021-08-26 15:48:00,2021-08-26 16:08:00,40.445622,-79.99045100000002,40.438423,-79.994089,0.5329999999999999,Stationary traffic on I-579 S from exit [2A] to Liberty Brg due to accident.,I-579 S,Pittsburgh,Allegheny,PA,15222,US,US/Eastern,KAGC,2021-08-26 15:53:00,84.0,84.0,63.0,28.79,9.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3578542,Source1,4,2017-03-10 16:25:53,2017-03-10 22:25:53,35.97318,-80.508061,36.02463,-80.4014,6.942,Closed between Farmington Rd/Exit 174 and Harper Rd/Exit 182 - Road closed due to accident.,I-40 E,Mocksville,Davie,NC,27028,US,US/Eastern,KEXX,2017-03-10 16:30:00,57.9,,28.0,29.99,10.0,WNW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6004602,Source1,2,2021-08-06 14:33:13,2021-08-06 16:35:33,38.246736999999996,-77.519052,38.244859999999996,-77.52521,0.358,Slow traffic on VA-208 from Hood Dr/Houser Dr (Courthouse Rd/VA-208) to Leavells Rd (Courthouse Rd/VA-208) due to accident., Courthouse Rd,Fredericksburg,Spotsylvania,VA,22407-1612,US,US/Eastern,KEZF,2021-08-06 14:35:00,89.0,89.0,38.0,30.04,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2030628,Source2,2,2019-06-03 08:27:55,2019-06-03 09:08:39,29.5112,-98.535118,,,0.0,Left hand shoulder blocked due to accident on I-410-Loop Westbound at Vance Jackson Rd.,Vance Jackson Rd,San Antonio,Bexar,TX,78213,US,US/Central,KSAT,2019-06-03 08:41:00,81.0,81.0,77.0,29.13,10.0,SSE,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3397863,Source2,3,2017-08-24 16:52:39,2017-08-24 17:37:29,42.701317,-73.848732,,,0.0,Accident on I-87 Northbound at Exit 24 New York Trwy.,New York Trwy S,Albany,Albany,NY,12205,US,US/Eastern,KALB,2017-08-24 16:51:00,73.0,,49.0,29.95,10.0,NNW,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5278782,Source1,2,2022-04-11 21:23:27,2022-04-11 22:43:30,34.848071999999995,-111.834924,34.846251,-111.845605,0.619,Incident on W STATE RTE-89A WB near CULTURAL PARK PL Drive with caution., W State Route 89A,Sedona,Yavapai,AZ,86336,US,US/Mountain,KSEZ,2022-04-11 21:53:00,56.0,56.0,45.0,24.69,10.0,S,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3197521,Source2,2,2017-11-21 10:18:08,2017-11-21 11:02:56,35.157894,-79.418892,,,0.0,Accident on US-501 at Columbus Dr.,US Highway 15 501,Aberdeen,Moore,NC,28315-2359,US,US/Eastern,KHFF,2017-11-21 09:56:00,45.9,42.9,73.0,30.28,10.0,SE,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4627303,Source1,2,2022-05-01 18:14:30,2022-05-01 19:06:30,33.566874,-86.82325300000002,33.555521,-86.831457,0.9159999999999999,Stationary traffic on US-78 E - I-65 S - AL-4 E from AL-31/Exit 266 (I-65) to 32nd Ave/33rd Ave/Exit 263 (I-65) due to accident.,I-65,Birmingham,Jefferson,AL,35207,US,US/Central,KBHM,2022-05-01 17:53:00,82.0,82.0,52.0,29.32,10.0,W,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1949956,Source2,3,2019-07-03 18:19:13,2019-07-03 19:32:43,35.449379,-97.570618,,,0.0,Lane blocked due to accident on I-44 Southbound at Exit 119 15th St.,I-44 W,Oklahoma City,Oklahoma,OK,73108,US,US/Central,KOKC,2019-07-03 17:52:00,80.0,80.0,67.0,28.51,10.0,E,15.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1899047,Source2,2,2019-09-07 01:36:55,2019-09-07 03:06:35,34.491703,-118.198395,,,0.0,Accident on CA-14 at Crown Valley Rd.,Crown Valley Rd,Acton,Los Angeles,CA,93510,US,US/Pacific,KPMD,2019-09-07 01:53:00,77.0,77.0,39.0,27.39,10.0,SW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2845302,Source2,2,2018-05-24 16:23:37,2018-05-24 16:53:02,35.439419,-97.512527,,,0.0,Accident on 25th St at Santa Fe Ave.,SW 25th St,Oklahoma City,Oklahoma,OK,73109-6018,US,US/Central,KOKC,2018-05-24 16:52:00,87.1,,49.0,29.95,10.0,South,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4262440,Source1,2,2022-07-21 16:55:30,2022-07-21 18:29:30,39.092868,-94.571846,39.099546999999994,-94.572119,0.462,Slow traffic on US-71 N from 22nd St (US-71) to I-70/I-670 (US-71) due to accident.,Bruce R. Watkins Dr,Kansas City,Jackson,MO,64108,US,US/Central,KMKC,2022-07-21 16:54:00,96.0,96.0,33.0,29.08,10.0,NW,5.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2433750,Source2,2,2018-11-05 17:31:56,2018-11-05 18:01:44,30.411613,-97.728546,,,0.0,Accident on Duval Rd at Mohican Dr.,Duval Rd,Austin,Travis,TX,78759,US,US/Central,KATT,2018-11-05 17:51:00,73.9,,71.0,29.75,10.0,SSW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2004173,Source2,3,2019-08-04 13:21:36,2019-08-04 14:00:00,34.126072,-117.916306,,,0.0,Accident on I-210 Eastbound at Exit 39 Vernon Ave.,N Vernon Ave,Azusa,Los Angeles,CA,91702-4335,US,US/Pacific,KEMT,2019-08-04 12:53:00,84.0,84.0,49.0,29.82,10.0,SSW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1079826,Source2,2,2021-04-16 16:41:08,2021-04-16 20:40:59,34.8522,-82.45165300000002,,,0.0,Accident on SC-253 Blue Ridge Dr at US-25 White Horse Rd.,W Blue Ridge Dr,Greenville,Greenville,SC,29611-3909,US,US/Eastern,KGMU,2021-04-16 16:53:00,69.0,69.0,27.0,28.7,10.0,S,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7114459,Source1,2,2020-03-13 05:04:00,2020-03-13 06:57:43,33.735594,-117.818321,33.735594,-117.818321,0.0,At Red Hill Ave/Exit 101B - Accident.,I-5 N,Tustin,Orange,CA,92780,US,US/Pacific,KSNA,2020-03-13 05:05:00,58.0,58.0,81.0,29.77,3.0,CALM,0.0,0.06,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1498272,Source2,2,2020-06-08 07:33:07,2020-06-08 08:05:00,45.13998400000001,-93.496262,,,0.0,Earlier accident on I-94 Eastbound after MN-610.,I-94 E,Maple Grove,Hennepin,MN,55311,US,US/Central,KMIC,2020-06-08 07:53:00,79.0,79.0,66.0,28.86,10.0,SSE,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2400224,Source2,2,2018-12-17 04:48:23,2018-12-17 05:33:07,43.010113,-85.674782,,,0.0,Accident on US-131 Northbound near Exit 89 I-96.,US-131 N,Grand Rapids,Kent,MI,49544,US,US/Eastern,KGRR,2018-12-17 04:53:00,35.1,27.9,72.0,30.01,10.0,West,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1792196,Source2,2,2019-11-01 05:48:01,2019-11-01 06:34:17,28.539009000000004,-81.314217,,,0.0,Accident on Lake Underhill Rd at Mercado Ave.,Mercado Ave,Orlando,Orange,FL,32807-1667,US,US/Eastern,KORL,2019-11-01 05:53:00,71.0,71.0,87.0,29.94,10.0,NNW,12.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-7217017,Source1,2,2020-01-10 10:48:00,2020-01-10 12:02:27,38.663975,-121.225628,38.663975,-121.225628,0.0,At CR-E3/Hazel Ave - Accident., Madison Ave,Fair Oaks,Sacramento,CA,95628-4009,US,US/Pacific,KMHR,2020-01-10 10:49:00,46.0,42.0,93.0,30.24,8.0,SSE,8.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2741600,Source2,2,2018-06-04 08:29:48,2018-06-04 08:59:16,37.924911,-122.05764,,,0.0,One lane blocked due to recovery work accident and spillage on Jones Rd both ways at Oak Rd.,Jones Rd,Walnut Creek,Contra Costa,CA,94597,US,US/Pacific,KCCR,2018-06-04 08:53:00,73.9,,38.0,29.87,10.0,West,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1764177,Source2,2,2019-10-18 05:49:01,2019-10-18 07:04:29,45.51738,-122.660751,,,0.0,Lane blocked due to accident on OR-99E Grand Ave at Morrison St.,SE Morrison St,Portland,Multnomah,OR,97214,US,US/Pacific,KPDX,2019-10-18 05:53:00,51.0,51.0,80.0,29.96,10.0,SSW,12.0,0.0,Light Rain,True,False,True,False,False,False,True,False,True,False,False,True,False,Night,Night,Night,Night
A-3437206,Source1,2,2016-10-17 07:56:26,2016-10-17 13:56:26,38.914451,-104.824202,38.914390999999995,-104.82408199999999,0.008,At Delmonico Dr - Accident.,Pro Rodeo Dr,Colorado Springs,El Paso,CO,80919,US,US/Mountain,KAFF,2016-10-17 07:58:00,62.2,,18.0,29.36,10.0,South,5.8,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7326793,Source1,2,2019-10-02 21:31:00,2019-10-02 23:43:55,32.745487,-117.18873500000001,32.745487,-117.18873500000001,0.0,At Old Town Ave/Exit 19 - Accident.,San Diego Fwy S,San Diego,San Diego,CA,92110,US,US/Pacific,KSAN,2019-10-02 21:51:00,66.0,66.0,75.0,29.91,10.0,N,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
